S.Aci16581III	S.Aci16581III
S.Hsp116I	S.Hsp116I
S.Hsp116II	S.Hsp116II
S.Hsp116III	S.Hsp116III
S.Hsp121I	S.Hsp121I
M.Hsp121III	M.Hsp121III
M.Hsp121IV	M.Hsp121IV
M.HspBol31I	M.HspBol31I
M.HspBol31I	M.Hsp121I
S.HspBol31I	S.HspBol31I
M.HspBol31III	M.HspBol31III
HspGSL19II	HspGSL19II
M.HspMHR1I	M.HspMHR1I
HspMHR1II	HspMHR1II
S.HspNI	S.HspNI
M.HspPV6I	M.HspPV6I
M.HspPV6I	M.HspBol31II
S.HspRAC07I	S.HspRAC07I
M.Hty1II	M.Hty1II
M.Hty1II	M.Cco9557III
M.Hty1II	M.Cco11366IV
M.Hty1II	M.Cfe10842II
M.Hty1II	M.Cje295II
M.Hty1II	M.Cje11924III
M.Hty1II	M.Cla11352III
M.Hty1II	M.Cla11845II
M.Hty1II	M.Cpe23910III
M.Hty1II	M.Csp12474IV
M.Hty1II	M.Cup11540III
M.Hty1II	M.Cup11840VII
M.Hty1II	M.Hac12686VII
M.Hty1II	M.Hfe11613III
M.Hty1II	M.Hpu13154II
M.Hty1II	M.Hpy30III
M.Hty1II	M.Hpy32III
M.Hty1II	M.Hpy66III
M.Hty1II	M.Hpy99VI
M.Hty1II	M.Hpy298III
M.Hty1II	M.Hpy300IX
M.Hty1II	M.Hpy12823VIII
M.Hty1II	M.Hpy13094X
M.Hty1II	M.Hpy13338VIII
M.Hty1II	M.Hpy13345IX
M.Hty1II	M.HpyAIII
M.Hty1II	M.HpyAS001VIII
M.Hty1II	M.HpyAs003VII
M.Hty1II	M.HpyAs006VII
M.Hty1II	M.Hpy1838CIX
M.Hty1II	M.HpyC11637VII
M.Hty1II	M.HpyFIII
M.Hty1II	M.HpyG272III
M.Hty1II	M.HpyH1XVI
M.Hty1II	M.HpyLIM1I
M.Hty1II	M.HpyLIM2VIII
M.Hty1II	M.HpyLIM3VII
M.Hty1II	M.HpyLIM6VI
M.Hty1II	M.HpyLIM7VII
M.Hty1II	M.HpyLIM8V
M.Hty1II	M.HpyLIM9VI
M.Hty1II	M.HpyLIM10VIII
M.Hty1II	M.HpyMT5105VIII
M.Hty1II	M.HpyMT5111VII
M.Hty1II	M.HpyMT5118IV
M.Hty1II	M.HpyMT5119VIII
M.Hty1II	M.HpyMT5124VII
M.Hty1II	M.HpyMT5125XI
M.Hty1II	M.HpyMT5135XI
M.Hty1II	M.HpyMT5136VI
M.Hty1II	M.HpyPIII
M.Hty1II	M.HpyPU001VII
M.Hty1II	M.HpyPU002VII
M.Hty1II	M.HpyPU004IX
M.Hty1II	M.HpyPU006X
M.Hty1II	M.HpyPU007IX
M.Hty1II	M.HpyPU008X
M.Hty1II	M.HpyPU010IX
M.Hty1II	M.HpySH002IX
M.Hty1II	M.HpySH007VII
M.Hty1II	M.HpySH011VIII
M.Hty1II	M.HpySH014IX
M.Hty1II	M.HpyUM037III
M.Hty1II	M2.MboI
M.Hty1IV	M.Hty1IV
M.Hty1IV	M.Hfe13101II
M.HvoDSII	M.HvoDSII
S.HvoDSII	S.HvoDSII
Ifl11159I	Ifl11159I
Ifl11159I	Abr4039II
M.Ifl11159II	M.Ifl11159II
M.Ifl11159II	M.Sma10498II
S.Ifl11159II	S.Ifl11159II
S.Ifl11159IV	S.Ifl11159IV
S.Isph11r3I	S.Isph11r3I
S.Isph11r3II	S.Isph11r3II
S.Isph11r3III	S.Isph11r3III
S.Isph11r3III	S.Lpn12179II
S.Isph11r3III	S.SenAZI
Nph3I	Nph3I
NsoJS138I	NsoJS138I
M.NsoJS138I	M.NsoJS138I
M.NsoJS138I	M.Eco11133II
M.NsoJS138I	M.PvuII
M.NsoJS138I	M.SbaI
M.NsoJS138I	M.Sen5772I
M.NsoJS138I	M.Sen10401III
M.NsoJS138I	M.Sen10536III
M.NspIII	M.NspIII
M.NspIII	M.Llo12931II
M.NspV	M.NspV
S.Nsp0038I	S.Nsp0038I
M.Nsp0038V	M.Nsp0038V
M.Nsp0038V	M.AflVII
M.Nsp0038V	M.AvaVI
M.Nsp0038V	M.NspKEnI
S.Nsp209II	S.Nsp209II
S.Nsp1536I	S.Nsp1536I
M.NspBD3II	M.NspBD3II
M.NspBD3II	M.Nca01II
S.NspC01I	S.NspC01I
M.NspC01II	M.NspC01II
M.NspC01II	M.Lsp6406III
NspHI	NspHI
NspHI	NspI
M.NspHI	M.NspHI
M.NspHI	M.NspI
M.NspKEnII	M.NspKEnII
S.NspTHN1I	S.NspTHN1I
Nti1539I	Nti1539I
M1.Nti1539I	M1.Nti1539I
M1.Nti1539I	M1.BfuAI
M.Nve54I	M.Nve54I
M.Nve54I	M.Hsa51II
M.Nve54I	M.HtuII
M.Nve54I	M.Nba10635I
M.Nve54I	M.NpaBOL61I
M.Nve54II	M.Nve54II
S.Nzo12229I	S.Nzo12229I
M1.Nzo12230I	M1.Nzo12230I
M1.Nzo12230I	M2.Hin4II
M.Oba14I	M.Oba14I
S.Oba14II	S.Oba14II
S.Oba14III	S.Oba14III
ObaBS10I	ObaBS10I
M.OcrK2II	M.OcrK2II
M.OcrK2III	M.OcrK2III
M.OcrK2IV	M.OcrK2IV
M.OcrK2V	M.OcrK2V
M.OcrK2V	M.Bli1904II
M.OcrK2V	M.Bsp6I
M.OcrK2V	M.Hpy57XVI
M.OcrK2V	M.LlaDII
OgrI	OgrI
S.OpiAA2II	S.OpiAA2II
M.OpiAA2III	M.OpiAA2III
M.Opr1222I	M.Opr1222I
S.Opr1222I	S.Opr1222I
M.Osp807I	M.Osp807I
M.Osp807II	M.Osp807II
M.Osp807II	M.Cma10206II
M.Osp807II	M.GsuRed1IV
M.Osp807III	M.Osp807III
S.Osp807III	S.Osp807III
S.Osp894I	S.Osp894I
S.Osp894I	S.MdeFJG1IV
S.Osp2203I	S.Osp2203I
S.Osp10826I	S.Osp10826I
M.OspA1II	M.OspA1II
M.OspA1II	M.CetTSPH2II
M.OspA1II	M.Lpn12181III
M.OspA1II	M.Lwa13017III
M.OspA1II	M.Nsp1536I
M.OspA1II	M.OspA1bI
M.OspA1II	M.PgaP128III
M.OspA1II	M.Tku12350I
M.OspA1III	M.OspA1III
M.OspA1III	M.OspA1bII
S.OspA1bI	S.OspA1bI
S.OspA1bI	S.OspA1II
M.OspM54I	M.OspM54I
S.OspM54I	S.OspM54I
S.OspM54II	S.OspM54II
M.OspM54III	M.OspM54III
S.OspM54III	S.OspM54III
M.OspW9097I	M.OspW9097I
M1.San11062I	M1.San11062I
S3.San11062I	S3.San11062I
M.San11062II	M.San11062II
S.Sar62II	S.Sar62II
S.Sar62II	S.Sau7485I
S.Sar62II	S.Sau10399I
M.Sar12413I	M.Sar12413I
M.Sar12413I	M.Bfl4941I
M.Sar12413I	M.Sau6571I
M.Sar12413I	M.Sau13297III
M.Sar12413I	M.Sep157II
M.Sar12413I	M.Smu10923I
M.Sar12413I	M.Spe13830I
M.Sar12413I	M.PspE1317I
M.Sar12413I	M.PspE133II
M.Sar12413I	M.Rgn2154I
S.Sar12413I	S.Sar12413I
S.Sar12413I	S.Sep157II
Sau96I	Sau96I
M.Sau96I	M.Sau96I
M.Sau100II	M.Sau100II
M.Sau100II	M.Cbo67190I
M.Sau100II	M.Cbo69094II
M.Sau100II	M.CboF160II
M.Sau100II	M.Cna13529I
M.Sau100II	M.Cpe8797I
M.Sau100II	M.Cpe9851I
M.Sau100II	M.Pat19335I
M.Sau100II	M.Sar62I
M.Sau100II	M.Sar62II
M.Sau100II	M.Sar13711I
M.Sau100II	M.Sar13711II
M.Sau100II	M.Sau100I
M.Sau100II	M.Sau146II
M.Sau100II	M.Sau251I
M.Sau100II	M.Sau325I
M.Sau100II	M.Sau325II
M.Sau100II	M.Sau1803I
M.Sau100II	M.Sau1803II
M.Sau100II	M.Sau2669I
M.Sau100II	M.Sau2669II
M.Sau100II	M.Sau3750I
M.Sau100II	M.Sau3761II
M.Sau100II	M.Sau5464I
M.Sau100II	M.Sau5657I
M.Sau100II	M.Sau5663I
M.Sau100II	M.Sau5663II
M.Sau100II	M.Sau6134I
M.Sau100II	M.Sau6134II
M.Sau100II	M.Sau6134III
M.Sau100II	M.Sau6966I
M.Sau100II	M.Sau6966II
M.Sau100II	M.Sau7712I
M.Sau100II	M.Sau7712II
M.Sau100II	M.Sau7718I
M.Sau100II	M.Sau7988I
M.Sau100II	M.Sau8723II
M.Sau100II	M.Sau8726I
M.Sau100II	M.Sau8726II
M.Sau100II	M.Sau8765II
M.Sau100II	M.Sau9369I
M.Sau100II	M.Sau9546I
M.Sau100II	M.Sau9546II
M.Sau100II	M.Sau9613II
M.Sau100II	M.Sau10399I
M.Sau100II	M.Sau10399II
M.Sau100II	M.Sau10649I
M.Sau100II	M.Sau10655I
M.Sau100II	M.Sau12196I
M.Sau100II	M.Sau12880I
M.Sau100II	M.Sau13133I
M.Sau100II	M.Sau13137I
M.Sau100II	M.Sau13139II
M.Sau100II	M.Sau13297II
M.Sau100II	M.Sau13298I
M.Sau100II	M.Sau13394I
M.Sau100II	M.Sau13434I
M.Sau100II	M.Sau13435II
M.Sau100II	M.Sau13813II
M.Sau100II	M.Sau18749I
M.Sau100II	M.Sau18750I
M.Sau100II	M.Sau64037II
M.Sau100II	M.Sau64038I
M.Sau100II	M.Sau82783I
M.Sau100II	M.Sau1FI
M.Sau100II	M.SauF40I
M.Sau100II	M.SauF43I
M.Sau100II	M.SauJKDI
M.Sau100II	M.SauJKDII
M.Sau100II	M.SauMJ015I
M.Sau100II	M.SauMJ015II
M.Sau100II	M.SauN315I
M.Sau100II	M.SauOS8II
M.Sau100II	M.SauOS28II
M.Sau100II	M.SauSA003I
M.Sau100II	M.SauSA003II
M.Sau100II	M.SauSK2II
M.Sau100II	M.Sch10530I
M.Sau100II	M.ScoDS2I
M.Sau100II	M.Sde12225I
M.Sau100II	M.Sde12225II
M.Sau100II	M.Sde12225III
M.Sau100II	M.Sep161I
M.Sau100II	M.Sep704I
M.Sau100II	M.Sep4008II
M.Sau100II	M.SepRPI
M.Sau100II	M.Sha148III
M.Sau100II	M.Sho34847I
M.Sau100II	M.Sin11048I
M.Sau100II	M.Sin11048II
M.Sau100II	M.Slu143I
M.Sau100II	M.SneJS1I
M.Sau100II	M.Ssa355I
M.Sau100II	M.Ssa7666I
M.Sau100II	M.Ssc2142II
M.Sau100II	M.Ssc12218III
M.Sau100II	M.Ssc13712II
M.Sau100II	M.Ssi124I
M.Sau100II	M.Ssi11046I
M.Sau100II	M.Ssi11046II
M.Sau100II	M.Ssi13838I
M.Sau100II	M.Swa151I
M.Sau100II	M.Sxy1023I
M.Sau100II	M.Sxy21324II
M.Sau100II	M.Evi17526II
M.Sau100II	M.Fph2794II
M.Sau100II	M.GspJM1V
M.Sau100II	M.Lme20241II
M.Sau100II	M.Pac537I
M.Sau100II	M.Mca10189I
M.Sau100II	M.Pin2734II
M.Sau100II	M.Bdo17855III
M.Sau100II	M.Bov11153I
M.Sau100II	M.Pin1653II
M.Sau100II	M.Pin2069I
M.Sau100II	M.Pin13070III
M.Sau100II	M.Pin17FV
M.Sau100II	M.Pme306I
M.Sau100II	M.Pme0692I
M.Sau100II	M.Psp1015I
M.Sau100II	M.BceD122I
M.Sau100II	M.Bfr4823II
M.Sau100II	M.Kzo10597I
M.Sau100II	M.Pko701II
M.Sau100II	M.Vfu13120II
M.Sau100II	M.Vha43516III
M.Sau159III	M.Sau159III
S.Sau251I	S.Sau251I
S.Sau251I	S.Sau6966I
S.Sau251I	S.Sau8726I
S.Sau251I	S.Sau64038I
S.Sau251I	S.Sau82783I
S.Sau251II	S.Sau251II
S.Sau251II	S.Sau772III
S.Sau251II	S.Sau3761I
S.Sau251II	S.Sau5464II
S.Sau251II	S.Sau13616II
S.Sau251II	S.SauJKDIII
S.Sau251II	S.Ssc2142I
S.Sau251II	S.Ssc2317I
S.Sau325II	S.Sau325II
S.Sau325II	S.SauMJ015I
M.Sau772II	M.Sau772II
S.Sau1803II	S.Sau1803II
S.Sau1803II	S.Sau5657II
S.Sau1803II	S.SauMJ163II
S.Sau2669II	S.Sau2669II
S.Sau2669II	S.Sau100I
S.Sau2669II	S.Sau159II
S.Sau2669II	S.Sau5663I
S.Sau2669II	S.Sau6134III
S.Sau2669II	S.Sau8317I
S.Sau2669II	S.Sau8507I
S.Sau2669II	S.Sau11561II
S.Sau3761II	S.Sau3761II
S.Sau3761II	S.Sar13711I
S.Sau3761II	S.Sau4163III
S.Sau3761II	S.Sau5657I
S.Sau3761II	S.Sau6507I
S.Sau3761II	S.Sau7712I
S.Sau3761II	S.Sau8531II
S.Sau3761II	S.Sau9546II
S.Sau3761II	S.Sau13435II
S.Sau5464I	S.Sau5464I
Sau5656II	Sau5656II
S.Sau5661I	S.Sau5661I
M1.Sau5661II	M1.Sau5661II
M1.Sau5661II	M2.Emu4838I
M1.Sau5661II	M1.LplAG30I
M2.Sau5661II	M2.Sau5661II
S.Sau6966II	S.Sau6966II
S.Sau6966II	S.Sau5663II
S.Sau6966II	S.Sau13137II
S.Sau6966II	S.Sde12225III
S1.Sau7447III	S1.Sau7447III
S.Sau7712II	S.Sau7712II
S.Sau7712II	S.Sau100II
S.Sau7712II	S.Sau146II
S.Sau7712II	S.Sau149II
S.Sau7712II	S.Sau6134II
S.Sau7712II	S.Sau6136II
S.Sau7712II	S.Sau7718I
S.Sau7712II	S.Sau8317III
S.Sau7712II	S.Sau8723II
S.Sau7712II	S.Sau9546I
S.Sau7712II	S.Sau13297I
S.Sau7712II	S.Sau13297II
S.Sau7712II	S.Sau64037I
S.Sau7712II	S.SauA39I
S.Sau7712II	S.SauF40II
S.Sau7712II	S.SauGOS2II
S.Sau7712II	S.SauMJ163I
S.Sau7712II	S.SauOS37II
S.Sau7712II	S.Ssc13712II
S.Sru2024II	S.Sru2024II
S.Sru2024III	S.Sru2024III
M1.Sru3002I	M1.Sru3002I
S.Sru3002I	S.Sru3002I
S.Sru3002II	S.Sru3002II
M.Sru3002III	M.Sru3002III
M.Sru3002III	M.Cla13003II
S.Sru3002III	S.Sru3002III
M.Sru9419I	M.Sru9419I
M.Sru9419I	M.AspNIH3II
M.Sru9419I	M.Ecl884AI
M.Sru9419I	M.Eco9094I
M.Sru9419I	M.EcoCFTI
M.Sru9419I	M.Sru10036I
M.Sru9419I	M.SwoAI
S.Sru9419I	S.Sru9419I
S.Sru10036I	S.Sru10036I
Sru10848I	Sru10848I
Sru10848I	EcoA3III
Sru10848I	Fsy5DI
M.SruM31TI	M.SruM31TI
S.SruM31TI	S.SruM31TI
M1.Ssa355II	M1.Ssa355II
M2.Ssa355II	M2.Ssa355II
S.Ssa7526I	S.Ssa7526I
M.Ssa7623I	M.Ssa7623I
M.Ssa7623I	M.Mly963I
M.Ssa7623I	M.Sau5661I
M.Ssa7623I	M.Sau7887I
M.Ssa7623I	M.Sca378I
M.Ssa7623I	M.Seq12414I
S.Ssa7623I	S.Ssa7623I
S.Ssa7623I	S.Ssa355I
M.Ssa7666II	M.Ssa7666II
M.Ssa7666II	M.Sep87I
M.Ssa7666II	M.Ssc13712I
M.Ssa7666II	M.Sau772I
S.Ssa7863I	S.Ssa7863I
S.Ssa10516I	S.Ssa10516I
S.Ssa10904I	S.Ssa10904I
S.SsaS8618I	S.SsaS8618I
S.SsaS8618I	S.Ssa813I
M.Ssc18I	M.Ssc18I
M.Ssc285I	M.Ssc285I
M.Ssc1360I	M.Ssc1360I
M.Ssc12103I	M.Ssc12103I
Sse9I	Sse9I
M.Sse9I	M.Sse9I
M.Sse9I	M.Asp588I
S.Ssi383I	S.Ssi383I
S.Ssi383I	S.Ssi124I
S.Ssi11046I	S.Ssi11046I
S.Ssi11046II	S.Ssi11046II
S.Ssi13838I	S.Ssi13838I
M.SsmMII	M.SsmMII
SspI	SspI
S.Ssp10I	S.Ssp10I
M1.Ssp10II	M1.Ssp10II
M1.Ssp10II	M1.Fli6794IV
M.Ssp10III	M.Ssp10III
S.Ssp13I	S.Ssp13I
M.Ssp13II	M.Ssp13II
M.Ssp13II	M.Cal14237III
S.Ssp13II	S.Ssp13II
S.Ssp53I	S.Ssp53I
S.CfrNIH4I	S.CfrNIH4I
S.CfrNIH4I	S.Ecl91I
S.CfrNIH4I	S.Eco13432I
S.CfrNIH4I	S.Kpn27I
S.CfrNIH4II	S.CfrNIH4II
S.CfrNIH4II	S.Aen12917I
S.CfrNIH4II	S.VpaSC4II
M.Cfupf3I	M.Cfupf3I
M.Cfupf3I	M.Aoc9810I
M.Cfupf3I	M.Avi7695I
M.Cfupf3I	M.Jar9157III
M.Cfupf3I	M.Jsp2502III
M.Cfupf3I	M.Sdy4671I
M.Cfupf3I	M.Seq251II
M.Cfupf3I	M.Spy123I
M.Cfupf3I	M.Spy136I
M.Cfupf3I	M.Spy149I
M.Cfupf3I	M.Spy190I
M.Cfupf3I	M.Spy322I
M.Cfupf3I	M.Spy360I
M.Cfupf3I	M.Spy416I
M.Cfupf3I	M.Spy743I
M.Cfupf3I	M.Spy1309I
M.Cfupf3I	M.Spy2366I
M.Cfupf3I	M.Spy5163I
M.Cfupf3I	M.Spy8193I
M.Cfupf3I	M.Spy8199I
M.Cfupf3I	M.Spy8227I
M.Cfupf3I	M.Spy8230I
M.Cfupf3I	M.Spy8231I
M.Cfupf3I	M.Spy8232I
M.Cfupf3I	M.Spy8302I
M.Cfupf3I	M.Spy8303I
M.Cfupf3I	M.Spy8316I
M.Cfupf3I	M.Spy8318I
M.Cfupf3I	M.Spy8320I
M.Cfupf3I	M.Spy10871I
M.Cfupf3I	M.Spy10876I
M.Cfupf3I	M.Spy10879I
M.Cfupf3I	M.Spy10880I
M.Cfupf3I	M.Spy12044I
M.Cfupf3I	M.Spy12050I
M.Cfupf3I	M.Spy13737I
M.Cfupf3I	M.Spy13738I
M.Cfupf3I	M.Spy13740I
M.Cfupf3I	M.Spy13741I
M.Cfupf3I	M.Spy13742I
M.Cfupf3I	M.Spy13743I
M.Cfupf3I	M.Spy13744I
M.Cfupf3I	M.Spy13751I
M.Cfupf3I	M.SspF0704II
M.Cfupf3I	M.Vcr12020I
M.Cfupf3I	M.Eav9938I
M.Cfupf3I	M.Bae232I
M.Cfupf3I	M.BceDQ01I
M.Cfupf3I	M.BceM3II
M.Cfupf3I	M.BceS28I
M.Cfupf3I	M.Bfr4823I
M.Cfupf3I	M.Bli10341II
M.Cfupf3I	M.Bme11I
M.Cfupf3I	M.BsuN210I
M.Cfupf3I	M.BveKMU01I
M.Cfupf3I	M.Eav180I
M.Cfupf3I	M.Eca4725I
M.Cfupf3I	M.Efa326I
M.Cfupf3I	M.Efa332I
M.Cfupf3I	M.Efa339I
M.Cfupf3I	M.Efa370I
M.Cfupf3I	M.Efa374I
M.Cfupf3I	M.Efa502II
M.Cfupf3I	M.Efa733II
M.Cfupf3I	M.Efa4128I
M.Cfupf3I	M.Efa9390I
M.Cfupf3I	M.Efa12359I
M.Cfupf3I	M.Efa13780I
M.Cfupf3I	M.Efa46401I
M.Cfupf3I	M.EfaC7171I
M.Cfupf3I	M.EfaC8176II
M.Cfupf3I	M.EfaDGI
M.Cfupf3I	M.EfaDM01I
M.Cfupf3I	M.EfaDMEA02I
M.Cfupf3I	M.Efa6E6II
M.Cfupf3I	M.EfaS397I
M.Cfupf3I	M.Ehi234I
M.Cfupf3I	M.Ehi13383I
M.Cfupf3I	M.Eox12280I
M.Cfupf3I	M.SspP33III
M.Cfupf3I	M.SurP32aI
M.Cfupf3I	M.Lcr023III
M.Cfupf3I	M.Lcr147V
M.Cfupf3I	M.Lcr147VII
M.Cfupf3I	M.Lcr310II
M.Cfupf3I	M.Lcr700II
M.Cfupf3I	M.LcrJM2I
M.Cfupf3I	M.LcrJM4III
M.Cfupf3I	M.Lla021II
M.Cfupf3I	M.Lla63II
M.Cfupf3I	M.Lla77II
M.Cfupf3I	M.Lla267I
M.Cfupf3I	M.Lla702I
M.Cfupf3I	M.Lla1820II
M.Cfupf3I	M.Lla7005IV
M.Cfupf3I	M.LlaB26III
M.Cfupf3I	M.LlaUC06II
M.Cfupf3I	M.Lde4408I
M.Cfupf3I	M.LdeF01II
M.Cfupf3I	M.LdeF36I
M.Cfupf3I	M.Lfl13928I
M.Cfupf3I	M.Lla14B4I
M.Cfupf3I	M.LlaUC08II
M.Cfupf3I	M.Ssa10516I
M.Cfupf3I	M.Sgo257I
M.Cfupf3I	M.Scr51100I
M.Cfupf3I	M.Sdo11391III
M.Cfupf3I	M.Seq251I
M.Cfupf3I	M.Sgo7868I
M.Cfupf3I	M.Sgo7869I
M.Cfupf3I	M.Sgo7870I
M.Cfupf3I	M.Sin233I
M.Cfupf3I	M.Sin13771I
M.Cfupf3I	M.Sor367I
M.Cfupf3I	M.Sor10232II
M.Cfupf3I	M.Ssa813I
M.Cfupf3I	M.Ssa11085I
M.Cfupf3I	M.SsaS8618I
M.Cfupf3I	M.Sso12279II
M.Cfupf3I	M.Ssp431I
M.Cfupf3I	M.SspJS71I
M.Cfupf3I	M.Sth9I
M.Cfupf3I	M.Sth301I
M.Cfupf3I	M.Sth12958I
M.Cfupf3I	M.SthCS8I
M.Cfupf3I	M.SthSt3I
M.Cfupf3I	M.Sru2024III
M.Cfupf3I	M.Vca640I
M.Cfupf3I	M.Apl11383I
M.Cfupf3I	M.Bce2599I
M.Cfupf3I	M.CspCP1I
M.Cfupf3I	M.Eau6208I
S.Cfupf3I	S.Cfupf3I
Cfupf3II	Cfupf3II
CgaBS1I	CgaBS1I
M.CgaBS1II	M.CgaBS1II
M.CgaBS1II	M.Bas20089I
M.CgaBS1II	M.CspWCF2I
M.CgaBS1II	M.Fna13121II
S.CgaBS1II	S.CgaBS1II
S.CgaBS1II	S.CspWCF2I
S1.CgaBS1III	S1.CgaBS1III
S.Cginov21I	S.Cginov21I
Cginov21II	Cginov21II
M.Cginov21III	M.Cginov21III
M.Cginov21III	M.BamAMMDII
M.Cginov21III	M.Bce82II
M.Cginov21III	M.Bce187II
M.Cginov21III	M.Bce345II
M.Cginov21III	M.Bce895II
M.Cginov21III	M.Bce10661II
M.Cginov21III	M.Bce22E1II
M.Cginov21III	M.BcoXL73II
M.Cginov21III	M.Bgl94II
M.Cginov21III	M.Bgl346IV
M.Cginov21III	M.Bgl389II
M.Cginov21III	M.Bgl12378III
M.Cginov21III	M.Bla383II
M.Cginov21III	M.Bma3709II
M.Cginov21III	M.Bmu246II
M.Cginov21III	M.Bmu17616II
M.Cginov21III	M.Bok13388II
M.Cginov21III	M.Bps840III
M.Cginov21III	M.Bst67I
M.Cginov21III	M.Bth237II
M.Cginov21III	M.Bth238II
M.Cginov21III	M.Bth426II
M.Cginov21III	M.Bvi239II
M.Cginov21III	M.Cba4G11II
M.Cginov21III	M.CneH16II
M.Cginov21III	M.CoxT2III
M.Cginov21III	M.CspEM10I
M.Cginov21III	M.Pap126III
M.Cginov21III	M.Pap16535I
M.Cginov21III	M.Pfa23572I
M.Cginov21III	M.Pno11628II
M.Cginov21III	M.Pox23570II
M.Cginov21III	M.PpnI
M.Cginov21III	M.Ppn13160I
M.Cginov21III	M.Ppu13159I
M.Cginov21III	M.Psp13161II
M.Cginov21III	M.Pth25325I
M.Cginov21III	M.Rma10893I
M.Cginov21III	M.Rpi410I
M.Cginov21III	M.Rpi11149I
M.Cginov21III	M.RsoI
M.Cginov21III	M.Rso31I
CglI	CglI
M.CglI	M.CglI
Cgl13032II	Cgl13032II
S.Cgl44375I	S.Cgl44375I
S.Cgl56828I	S.Cgl56828I
M.Cgr12738I	M.Cgr12738I
M.Cgr12738I	M.Cfe10842I
M.Cgr12738I	M.Cla13003III
S.Cgr12948I	S.Cgr12948I
S.Cgr12948II	S.Cgr12948II
S2.Cha32990I	S2.Cha32990I
M.Che12470VI	M.Che12470VI
M.Che12470VI	M.Cup11840I
M.Che51209I	M.Che51209I
M.Che51209IV	M.Che51209IV
M.Che51209IV	M.Che12470II
M.Che51209IV	M.Cup11541III
M.Che51209IV	M.Cup11840VI
M.Che51209IV	M.Hfe11613II
M.Che51209IV	M.Cin12927SII
M.Che51209IV	M.Hac12686V
M.Che51209IV	M.Hpy66II
M.Che51209IV	M.Hpy298II
M.Che51209IV	M.Hpy12823II
M.Che51209IV	M.Hpy13094II
M.Che51209IV	M.Hpy13338II
M.Che51209IV	M.HpyAS001II
M.Che51209IV	M.HpyAs003II
M.Che51209IV	M.HpyAs004II
M.Che51209IV	M.HpyAs005II
M.Che51209IV	M.HpyAs009II
M.Che51209IV	M.HpyC11637III
M.Che51209IV	M.HpyG272VII
M.Che51209IV	M.HpyLIM1III
M.Che51209IV	M.HpyLIM2XV
M.Che51209IV	M.HpyLIM7II
M.Che51209IV	M.HpyLIM10XIV
M.Che51209IV	M.HpyMT5105XIV
M.Che51209IV	M.HpyMT5118IX
M.Che51209IV	M.HpyMT5119II
M.Che51209IV	M.HpyMT5125II
M.Che51209IV	M.HpyPU001II
M.Che51209IV	M.HpyPU004II
M.Che51209IV	M.HpyPU006II
M.Che51209IV	M.HpyPU007II
M.Che51209IV	M.HpyPU010II
M.Che51209IV	M.HpySH007II
M.Che51209IV	M.HpySH011II
M.Che51209IV	M.HpySH014II
M.Che51209IV	M.HpyUM037II
S.Cho10426I	S.Cho10426I
S.Cho10426I	S.Acr10283I
M.Chy11610I	M.Chy11610I
S.Chy11610I	S.Chy11610I
M.Chy11610IV	M.Chy11610IV
S4.Cin337I	S4.Cin337I
S4.Cin337I	S4.Cgl11432I
S4.Cin337I	S4.Cin10796I
M.Cin379I	M.Cin379I
M.Cin379I	M.PjeF0106II
M.Cin379I	M.Pca1379aI
M.Cin379I	M.Pin13070II
M2.Cin755I	M2.Cin755I
M2.Cin755I	M1.CsaWM1I
M2.Cin755I	M1.Csp410I
M2.Cin755I	M1.Csp507I
M2.Cin755I	M1.Csp12AI
M2.Cin755I	M2.Lxysy1I
M2.Cin755I	M2.BstF5I
S1.Cin10796I	S1.Cin10796I
S1.Cin10796I	S.Eme10588II
S1.Cin10796I	S1.Sth11429I
S2.Cin10796I	S2.Cin10796I
S3.Cin10796I	S3.Cin10796I
S3.Cin10796I	S2.Fhi13514II
Cin11811I	Cin11811I
M.Cin13532I	M.Cin13532I
M.CinAA5I	M.CinAA5I
M.CinAA5I	M.Psp27299I
M.CinAA5I	M.Smu11343III
S.CinAA5I	S.CinAA5I
S.Cis15098I	S.Cis15098I
M.Cis15098III	M.Cis15098III
M.Cis15098III	M.CisBK32I
M.Cis15098III	M.Hty1I
M.Cis15098III	M.Mca10293I
M1.CisBK32II	M1.CisBK32II
M1.CisBK32II	M.Cdi20476IV
M2.CisBK32II	M2.CisBK32II
S.CisBK32IV	S.CisBK32IV
S.CisBK32V	S.CisBK32V
S.Cje262I	S.Cje262I
S.Cje262I	S.Cje264III
Cje263III	Cje263III
Cje263III	Cje264I
Cje263III	Cje13105IV
Cje263III	Cje13261III
Cje263III	Cje32488II
Cje263III	Cje54107III
Cje263III	CjeFIII
Cje263III	CjeF38011IV
Cje263III	CjeYH002III
Cje263IV	Cje263IV
Cje263IV	Cco11437V
Cje263IV	Cco104627II
Cje263IV	CjeI
Cje263IV	Cje265II
Cje263IV	Cje10983V
Cje263IV	Cje12109IV
S.Cje263V	S.Cje263V
S.Eco11102I	S.Eco11102I
S.Eco11102I	S.Eco3609I
S.Eco11122II	S.Eco11122II
S.Eco11122II	S.Kpn156II
M.Eco11122III	M.Eco11122III
M.Eco11122III	M.Kpn8883I
M.Eco11122III	M.YinY228II
S2.Eco11126I	S2.Eco11126I
S.Eco11476II	S.Eco11476II
S.Eco11476II	S.Eco9080I
S.Eco11476II	S.EcoJA03PI
M.Eco13148I	M.Eco13148I
S1.Eco13148II	S1.Eco13148II
